Timestamp,I understand that the information I provide in this form will be made publicly available.,"Q1: What information would you like us to know about your needs, priorities, desires and concerns for the citizen science platform?",Q2: Do you have a personal connection to autism?,Q3: Can we use the information above to inform how we design and build the platform?
8/21/2019 13:10:31,Yes,I would like to know what the project can offer. As well as future plans or end goal with the lead up to the concluding part. I am interested to see how different elements and those involved with lead to great success. Not only that how much time and information used within the project.,I am autistic,Yes
8/21/2019 15:19:38,Yes,"I would like to learn how to improve fire safety advice and technology such as smoke alarms, to better protect people with autism from fire and its effects.  For example, would a different alarm noise be better in some cases, or a flashing light instead of the sound?  Can buildings have better signage or layout to improve chances of safe escape from a fire?  Where a significant fire risk exists, would a sprinkler or water mist system be appropriate or inappropriate in some cases, dependent upon the autistic individual who lives in the property?",I am a parent/ guardian of someone autistic,Yes
8/21/2019 18:35:02,Yes,"How accessible is it to be a part of the project. Also, what could I expect in return ?",I am autistic,Yes
9/4/2019 11:58:32,Yes,,"I know someone who is autistic, I have another personal connection to autism",Yes
9/4/2019 21:26:05,Yes,"I have sensory issues mainly, but not exclusively, problems with auditory overload. 
I have no concerns. Keen to help in any way I can",I am autistic,Yes
9/7/2019 23:19:11,Yes,,I am a parent/ guardian of someone autistic,Yes
9/7/2019 23:20:03,Yes,,"I am autistic, Someone in my family is autistic, I know someone who is autistic, I have another personal connection to autism",Yes
9/11/2019 13:26:58,Yes,,I am autistic,Yes
9/11/2019 13:27:40,Yes,"Ideas for Focus Groups:

What intrigued you about the project?
What's your relationship/connection to autism or the project's issues?
What do you expect from this session?
Do you require any additional support?
What's your preferred style of working within a group? Written, verbal, images? - Catering to accessibility
Incorporate a quiet space if it gets too much
Do people have mobility impairments? Be prepared for this.
No more than 2-3 questions per turn (break up session) - if people have extra questions or suggestions put in a comment box so they can still be responded to
In case people have difficulties, e.g. anxiety, have someone to assist/make sure they get included.
Make clear that people can't make their own recordings.
Booklet or material about what to expect.",I am autistic,Yes
9/15/2019 19:25:44,Yes,,I am a parent/ guardian of someone autistic,Yes
9/20/2019 16:07:11,Yes,What can the citizen science platform offer in terms of accessibility and flexibility?,I am autistic,Yes
9/24/2019 13:51:45,Yes,,"I am autistic, I am a parent/ guardian of someone autistic, I know someone who is autistic",Yes
9/24/2019 14:15:53,Yes,"I am concerned about the difficulties travelling in / navigating confined spaces like tube trains and lifts. On 17 th September l attended a council meeting in a new mixed use building that has been passed as finished yet the lift l exited from the second floor to ground level had ply board fascias next to the metal control panel. There was lots of striped sticky tape holding the boards in place and l felt very uncomfortable.  Could they collapse and fall in on me or if there was an electric spark would they ignite. Where was the panic button. Nowhere in plain sight. I’m travelling in a FIRE BOX. I was shaking inside the whole journey down. I complained at the reception desk as l signed out, asking hey they didn’t see it as a priority to finish it and have emergency signage clearly visible. I asked them to log the complaint and emailed my council too. I attended a meeting on 23 rd. The lift is finished. I feel my feelings were validated.","I am autistic, I am a parent/ guardian of someone autistic, I know someone who is autistic",Yes
9/24/2019 15:01:40,Yes,I think this question could include more specific examples. ,"Someone in my family is autistic, I know someone who is autistic",Yes
10/3/2019 23:54:28,Yes,,"I am autistic, I am a parent/ guardian of someone autistic",Yes
11/6/2019 18:44:51,Yes,"I just want to be able to do more than exist.  I expend so much energy trying to survive my environment and control myself ro be ""normal"" that I have no energy to do anything else.  I travel to work, I work, I eat, I travel home, I eat, I sleep.  I don't hang out with friends or read new books or binge watch because I simply don't have the energy or concentration left after battling through the day.  The older I get, the worse it gets.  I would just like to be able to *live*",I am autistic,Yes
11/7/2019 15:27:03,Yes,,I am autistic,Yes
11/7/2019 15:30:17,Yes,"Travel Blog as discussed on twitter
",I am autistic,Yes
12/21/2019 19:00:30,Yes,,"I am autistic, I am a parent/ guardian of someone autistic, I know someone who is autistic",Yes
12/21/2019 19:22:40,Yes,"On Friday 20 th December l was called to a council photo shoot as part of a Disabled group coproducing ruthless inclusion for residents in a new Town Hall. I knew l would be stood beside skips, barriers and various builders materials yet the reality was disorientating. I have just started walking with a stick because my arthritis in my right hip is too painful to walk unaided. I felt unstable already but even more so transferring from sitting under harsh tube lighting inside a builders office to being lined up by the photographer outside for the shots. I wrongly assumed someone had briefed him about my  sensitivities towards flash.  Two of our group are blind so it affects them less ( not to minimise their need to be less exposed to dramatic changes in their ambient environment ). I felt very shaky as the flash went off continuously. He apologised yet made no adjustments whatsoever when l raised my sensitivity.  I’ve learned from this experience to always mention my barriers, needs and to insist that they are considered before asking me to participate in events like this. ","I am autistic, I am a parent/ guardian of someone autistic, I know someone who is autistic",Yes
12/21/2019 19:34:41,Yes,"When l was travelling on a South Western train to Canterbury from St Pancras l found the fact that the whole train had no markings to define which was first class and which one was economy very disorienting. I almost didn’t board. I assumed l was not allowed to get on it. I had to ask a fellow passenger if my ticket was ok to use on it. On the return journey two days later l narrowly avoided tripping over a very tiny metal lip at the step down by the automatic exit / entry doors. It’s a peculiar feature on these trains that l have never encountered before. I have no idea how visually impaired clients deal with it. You do not always get a mind the gap warning on overground trains like you do on the tube. Why on earth isn’t it flush like on other train lines. I found myself breathing quite shakily for the next five minutes or so. It influenced me to do a different route home on the tube that increased my journey time, making me more tired. I’ve learned from this experience to be more vigilant about exit points. ","I am autistic, I am a parent/ guardian of someone autistic, I know someone who is autistic",Yes
